PAR-MAIL,RZS-CSVP
PAR-TRI,LAK-VEF
PAR-MESS,HLP-FGOZ
HISTO,QNAAV
USERNAME,GOCRCUVZ
PASSWD,GSOAAK
DB-NAME,CP-AWRG
USER-ID,RTKN-PI
W-CLEDEB,W-HSTQBY
W-CLEFIN,W-CWJRYG
W-CLECHQ,W-NUSGKV
W-MAIL,W-ZKES
W-ROWID,W-RNIUE
MSG-TEXT,QYZ-ZWGL
MAX-SIZE,DFH-VXSI
MSG-LENGTH,RNH-FXFBUK
SQLCODE2,WAXIOKC4
WFIN,UDOL
WCTR,VXXZ
W-CPT1,W-WAL9
W-CPT2,W-MNB1
AIG,ADJ
PARAM,UYOCI
W-LIGNE,W-ANXVA
W-CHQCLE,W-VWBCSZ
CHQ-POSTE,HFC-YSEFY
CHQ-APP,SXS-HDD
CHQ-PRG,JKB-YYG
CHQ-DATJ,DQM-LOCW
CHQ-HEUJ,LGP-PZDF
CHQ-NBCHQ,CHY-VZGZA
CHQ-MTCHQ,PIE-ULRJL
GCVANOTP,GCVANOTP
KHQANOTP2,XGOCRCVU4
POST-ANO,UAGA-GEA
W-CODESANO,W-PLASWBGI
W-MESANO,W-ECABPS
FICNANT8,VXKDYSC8
FICNPOST,UKBFXOKO
FICNEX,IZEXAY
FICNDEBIT,OWLHNZOUT
FANT,OJWC
FLAG,HEXW
DRAP,UJAO
I,I
WLUS,ULVX
WMAJANT,TMSGIZA
WCREANT,GOBXMKJ
WDATE,PLGZU
WDATMAC1,ILDAUKJ9
WDATMAC2,NKJMVNW2
WDATMAC3,RNWTGDN0
WSTOCK,RTACKA
WSTOCLE,XZPRGFZ
WSTOCPOST,TMMEOTPLU
WSTOCDEBIT,CFHBQJSMDJ
WTAB,YTZC
ELEM-TAB,YYJR-YBV
ELEMPOST,EWXXGDOJ
ELEMDEB,LFDNJRT
FCOUR,IJQLN
FBASE,ZONZV
FBASECLE,KUQXLQDM
FBASEPOST,ATEJOFRKC
FBASENAT,LBXHQDDR
FBASECHQ,CDOLYHIQ
FBASEMONT,BNFANBVBS
FBASEMONT9,RFXTFHMFA8
FBASECOMT,JQSKTJZYO
FBASESYNO,IHOCCWVMQ
FBASEOPDEV,LIZZPIMGBN
FBASEEMET,WCFFNSPMG
FBASEORI,LPEGHNOU
FBASEORDO,OHELOPAJF
FBASETITRE,JIGIITNRDB
FBASECT,NKAGMTC
FBASEPREC,NVXVQGFEI
FBASEGEST,WIWSIKTFH
FBASEEMIS,UIKSXXNGK
FBASEPAIE,XKAJZJEBA
FBASEDATEREG,JRMRMLWYSPZK
FBASEOPPO,PGXWPFOPX
FBASEDATOPO,JUARWFZBCMO
FBASEDATMAIN,ROWAFNGLNZUD
FBASEORDRE,MYOHVDQPYD
FBASEDATEMI,YSCJQCAORBV
FBASELIB,ZXQRXUNL
FBASECPTA,YSRNSJHII
FBASETRSF,YETBWXGZD
FBASEAATRSF,UJTBGWVDSXC
FBASEMMTRSF,YFPLDMYYSJP
FBASEJJTRSF,EEWTSNOPKKK
FBASENUMTRSF,REFWKMCYEKLM
FBASECODEMARTRF,TOZTLTODTLAIODD
FBASECTDEV,UGZYNTFHDT
FBASEMONTCONV,FSQWBZLEJQIEK
FBASENOMREDUIT,GXJBUHWDRCTLCW
FBASEINDCIRCUL,IMINUUHNQYXSXE
FBASEINDRECONC,LXNISMUJEZCNAC
FBASEOPBDIC,DDZJKLMKHFQ
FBASEROWID,DJQRNWSXJE
F,F
FBASL,UFIYP
FBASA,ORSIH
WFIN2,EKFB8
CTRLU1,CXQNZ3
CTRLU2,ZMLIX6
CTRECRL,HGNRLPE
CTRECRA,LSQGIPS
CTRABS,FVEGSJ
CTRCOUR,KBGZPSR
CTRTROUV,YZDSFZAL
ANNEEPAR,DNSXRAOI
WBASECLE,OUIVUHAJ
WBASECLE30,ETHXQLKI46
WBASEPOST,GTDMLTVKR
WBASENAT,DBIPDYLP
WBASECHQ,BIDDHBQS
WBASEMONT,FIWIPXIIM
WBASEEMET,ESRHIGUGJ
WBASEORI,GQDSNLHF
WBASEORDO,PCZZNXESU
WBASETITRE,WKSOUEJQVS
WBASEGEST,MNCWOKGAU
WDAT,GEKD
WAAMMJJ,TTRJXZF
WAA,NBR
WMM,FPB
WJJ,GED
HMS,DVR
HH,HH
MN,MN
SS,SS
CC,CC
ARTEMIS,EKAOVAG
FEMISDEBUT,YQQDVWTKEZ
FEMISDATEMI,WPLSCKEWEQI
FEMISSUITE,RWYJFSJTRG
FEMISOPD,PZOSSSQM
FEMISFIN,GXTOTFSU
ARTEMIF,VRLBXWA
FEMIFDEBUT,VAJAJWBERC
FEMIFDATEMI,DMNGBAGXUQJ
FEMIFSUITE,MWASVQGTRJ
FEMIFOPD,HZYDOCBL
FEMIFFIN,YMNFLKZY
ARTEMIE,FSOKLLD
FEMIEDEBUT,IGZTMMUPEO
FEMIEDATEMI,KNQMXZALBHH
FEMIESUITE,QFYZFNOSTF
FEMIEOPD,XKBDNALS
FEMIEFIN,OLNAROWR
WCTRL,ERYKF
WCTRE,UIIOH
WCTRF,FJFJO
FL-FIN,VI-YQS
ARTBILAN,DKQAHDEQ
ARTTETE,UGOASYG
GCVE-CODART,QGPJ-NELKEX
GCVE-POST,NGHE-EYBV
GCVE-CODEV,ERME-URSXH
GCVE-NB,MKSO-YQ
GCVE-MT,SEMA-BF
AIG2,MRF9
FIN,BFD
CTL,ZTQ
WL1,FS1
WL1-JJ,ZJ3-GM
WL1-MM,DL1-GT
WL1-AA,YQ2-EH
WL2,BP8
WL3,AQ9
WL4,WA6
WL7,UB4
WT1,VU6
WT21,WH06
WT22,HH09
WT23,AV91
WT24,GQ32
WT3,TP0
WT4,NJ5
WT5,PV5
WT6,BS4
WLD,AQK
WLD-LIB,CRM-YEZ
WLD-NB-EUROS,LLW-GC-STIEQ
WLD-MT-EUROS,FFK-RL-YLNWZ
WLD-NB-FRANCS,FWN-BF-QNYBSR
WLD-MT-FRANCS,WJJ-UA-MMKOVU
WLD-NB-TOT,WXL-GD-SYX
WLD-MT-TOT,DYK-JX-WKQ
POSTE,XFJVD
NB-EUROS,QD-XRUCM
MT-EUROS,CA-PBFPP
NB-FRANCS,UK-BWZKEC
MT-FRANCS,RP-BNQBTO
NB-POSTE,TN-KBJZT
MT-POSTE,TE-ISBUY
NB-TOT,KP-WGI
MT-TOT,MP-DRH
NB-TOT-FR,AJ-ZXD-RU
MT-TOT-FR,YC-DVD-KV
NB-TOT-EU,JK-IJO-XI
MT-TOT-EU,MP-TOG-VY
NB-TOT-GEN,ND-AJO-ZKM
MT-TOT-GEN,GZ-MYR-LQR
W-DATE,W-XELD
W-AA,W-CT
W-MM,W-QY
